price,postal_code,rooms,area,state,has_open_fire,property_type,property_subtype,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,is_luxurious
500000,9030,2,145,4,-1,1,11,4,0,1,1,2,2,0
329000,9041,4,128,0,-1,1,11,2,-1,1,1,2,4,0
295000,9000,4,135,5,-1,1,11,-1,-1,1,1,2,4,0
630000,9000,7,405,5,-1,1,11,2,0,1,1,0,4,1
230000,9000,2,72,3,-1,1,11,-1,-1,-1,-1,2,4,0
410000,9000,2,117,3,-1,1,11,-1,-1,-1,-1,2,4,0
290000,9050,3,130,3,-1,1,11,-1,-1,-1,-1,2,4,0
379000,9030,3,96,4,-1,1,11,2,0,1,1,0,0,0
645000,9050,5,262,3,-1,2,8,-1,-1,-1,-1,2,4,1
450000,9030,2,126,0,-1,1,11,2,-1,1,1,0,3,0
445000,9042,3,457,4,-1,1,11,4,-1,1,-1,0,0,1
445000,9000,3,457,4,-1,1,11,3,-1,1,-1,0,0,1
1100000,9052,4,452,3,-1,1,14,4,-1,0,0,2,4,1
700000,9051,4,204,5,-1,1,14,-1,-1,-1,-1,2,4,0
525000,9040,4,155,5,-1,1,11,4,-1,1,1,2,4,0
385000,9032,3,144,0,-1,1,11,3,-1,1,1,2,4,0
379000,9000,3,156,5,-1,1,11,2,-1,1,1,2,0,0
274000,9000,2,111,5,-1,1,11,2,0,0,0,0,0,0
275000,9000,3,91,4,-1,1,11,2,-1,0,0,2,4,0
519955,9032,3,166,2,-1,1,11,3,-1,-1,-1,2,4,0
595000,9000,4,177,0,-1,1,11,2,0,-1,1,2,4,0
439000,9032,3,143,4,-1,1,11,3,-1,1,1,0,4,0
295000,9050,3,143,5,-1,1,11,-1,-1,-1,-1,2,4,0
615000,9041,4,342,4,-1,1,11,4,0,1,1,0,0,1
299000,9041,3,92,4,-1,1,11,2,-1,1,1,0,4,0
295000,9000,3,143,5,-1,1,11,-1,-1,-1,-1,2,4,0
825000,9000,4,252,7,-1,1,11,-1,-1,1,1,2,4,1
289000,9000,3,89,4,-1,1,11,2,-1,0,0,2,4,0
295000,9000,3,139,5,-1,1,11,2,0,0,1,2,4,0
575000,9000,3,120,0,-1,1,11,2,1,1,1,0,3,0
229000,9000,3,101,3,-1,1,11,-1,-1,0,0,2,4,0
229000,9000,3,101,3,-1,1,11,-1,-1,0,0,2,4,0
509000,9050,3,139,2,-1,1,11,2,0,1,1,0,3,0
359000,9050,4,188,4,-1,1,11,2,-1,-1,1,2,4,0
569000,9000,5,350,4,-1,1,11,2,0,1,0,0,4,1
545000,9000,3,137,0,-1,1,11,2,0,1,1,0,3,0
860000,9051,3,185,0,-1,1,14,4,0,1,1,0,3,0
365000,9000,3,204,5,-1,1,11,2,0,1,0,0,4,0
375000,9000,3,138,4,-1,1,11,2,-1,1,1,0,3,0
749000,9031,5,345,4,-1,1,11,4,-1,1,1,2,4,1
426000,9000,3,129,4,-1,1,11,-1,-1,-1,1,2,0,0
449000,9050,4,149,0,-1,1,11,-1,-1,-1,-1,2,4,0
350000,9050,3,132,0,-1,1,11,2,0,1,-1,0,0,0
500000,9050,3,150,2,-1,1,11,2,0,1,1,0,3,0
379000,9000,3,106,3,-1,1,11,2,-1,1,-1,2,0,0
245000,9000,1,63,4,-1,1,11,-1,-1,-1,-1,2,4,0
370000,9000,4,165,4,-1,1,11,2,0,1,1,0,3,0
325000,9050,3,154,4,-1,1,11,-1,0,1,1,0,4,0
499000,9000,3,143,2,-1,1,11,2,-1,1,1,2,4,0
499000,9000,3,132,2,-1,1,11,2,-1,1,1,2,4,0
365000,9000,3,147,7,-1,1,11,3,0,1,1,0,3,0
815000,9000,4,172,4,-1,1,11,2,0,1,1,0,3,0
272000,9000,4,130,3,-1,1,11,2,-1,0,1,2,4,0
360000,9040,3,130,4,-1,1,11,2,1,1,1,0,3,0
449000,9000,3,172,4,-1,1,11,-1,-1,-1,-1,2,4,0
350000,9041,2,248,7,-1,2,9,2,0,1,0,0,0,0
399000,9032,3,113,3,-1,1,11,2,-1,1,1,0,4,0
425000,9000,2,200,0,-1,1,11,2,-1,1,1,2,4,0
399000,9000,3,111,4,-1,1,11,2,-1,-1,0,0,3,0
435000,9000,5,220,3,-1,1,11,2,-1,1,0,2,4,0
525000,9032,4,164,2,-1,1,11,-1,-1,-1,-1,2,4,0
499000,9032,4,164,2,-1,1,11,-1,-1,-1,-1,2,4,0
939000,9000,7,375,4,-1,2,8,2,-1,1,-1,2,4,1
989000,9000,4,247,2,-1,1,11,2,0,1,1,0,0,1
939000,9000,7,375,4,-1,2,8,2,-1,1,-1,2,4,1
680000,9000,5,162,0,-1,1,11,2,0,1,1,0,0,0
455000,9032,4,139,7,-1,1,11,4,0,1,1,0,0,0
670000,9000,5,168,0,-1,1,11,2,0,1,1,0,0,0
499500,9000,4,180,3,-1,1,11,2,-1,0,1,2,4,0
518000,9050,3,138,2,-1,1,11,2,0,1,1,0,3,0
566000,9050,3,163,2,-1,1,11,2,0,1,1,0,3,0
566000,9050,3,166,2,-1,1,11,2,0,1,1,0,3,0
500000,9050,3,150,2,-1,1,11,2,0,1,1,0,3,0
554000,9050,3,159,2,-1,1,11,2,0,1,1,0,3,0
566000,9050,3,166,2,-1,1,11,2,0,1,1,0,3,0
566000,9050,3,166,2,-1,1,11,2,0,1,1,0,3,0
518000,9050,3,150,2,-1,1,11,2,0,1,1,0,3,0
500000,9050,3,150,2,-1,1,11,2,0,1,1,0,3,0
518000,9050,3,150,2,-1,1,11,2,0,1,1,0,3,0
518000,9050,3,150,2,-1,1,11,2,0,1,1,0,3,0
518000,9050,3,150,2,-1,1,11,2,0,1,1,0,3,0
518000,9050,3,150,2,-1,1,11,2,0,1,1,0,3,0
518000,9050,3,149,2,-1,1,11,2,0,1,1,0,3,0
518000,9050,3,150,2,-1,1,11,2,0,1,1,0,3,0
547000,9050,3,158,2,-1,1,11,2,0,1,1,0,3,0
550000,9050,3,120,0,-1,1,11,-1,-1,-1,-1,2,4,0
1550000,9051,4,791,4,-1,1,14,-1,-1,-1,-1,2,4,1
315000,9000,2,116,3,-1,1,11,2,-1,1,-1,2,4,0
525000,9032,3,200,0,-1,1,11,3,-1,1,1,2,4,0
420000,9040,4,166,0,-1,1,11,-1,-1,-1,-1,2,4,0
